Label Feature,Dropped Feature,Model Name,Test MSE,Test MAE,Test MAPE
SWC_10,Year sin,Bi-LSTM,0.03789088502526283,0.11965779960155487,19.302804946899414
SWC_10,Year cos,Baseline,0.043878208845853806,0.08710715919733047,14.520012855529785
SWC_10,Year cos,Multi-step Linear,0.07471614331007004,0.2174467146396637,29.45016098022461
SWC_10,Year cos,Multi-step Dense,0.032377440482378006,0.10800869017839432,14.591811180114746
SWC_10,Year cos,CNN,0.034577734768390656,0.11455314606428146,20.963973999023438
SWC_10,Year cos,RNN,0.03079049475491047,0.10019156336784363,14.358827590942383
SWC_10,Year cos,LSTM,0.03950618579983711,0.10999013483524323,13.436589241027832
SWC_10,Year cos,Autoregressive,0.0575660839676857,0.1536303013563156,17.85146141052246
SWC_10,Year cos,Bi-LSTM,0.04473430663347244,0.1321726143360138,18.422536849975586
SWC_20,Baseline,Baseline,0.02416984550654888,0.0492812804877758,12.144475936889648
SWC_20,Baseline,Multi-step Linear,0.012735915370285511,0.03080574795603752,6.664094924926758
SWC_20,Baseline,Multi-step Dense,0.017339490354061127,0.07724811881780624,12.51300048828125
SWC_20,Baseline,CNN,0.015621570870280266,0.05653305724263191,14.387328147888184
SWC_20,Baseline,RNN,0.02228383719921112,0.09326601773500443,16.294700622558594
SWC_20,Baseline,LSTM,0.03016762062907219,0.1129956841468811,14.133026123046875
SWC_20,Baseline,Autoregressive,0.03014744073152542,0.09440840035676956,13.422083854675293
SWC_20,Baseline,Bi-LSTM,0.043216727674007416,0.14822104573249817,24.160396575927734
SWC_20,Ppt,Baseline,3.766026735305786,1.5651359558105469,199.76400756835938
SWC_20,Ppt,Multi-step Linear,0.013250492513179779,0.03390132263302803,8.288802146911621
SWC_20,Ppt,Multi-step Dense,0.015053106471896172,0.05702916160225868,11.367523193359375
SWC_20,Ppt,CNN,0.017303796485066414,0.06300339102745056,15.249634742736816
SWC_20,Ppt,RNN,0.017092468217015266,0.06432100385427475,16.1057071685791
SWC_20,Ppt,LSTM,0.03558588773012161,0.12476109713315964,22.439716339111328
SWC_20,Ppt,Autoregressive,0.06064849719405174,0.18843279778957367,24.66383934020996
SWC_20,Ppt,Bi-LSTM,0.06756821274757385,0.19494576752185822,24.570579528808594
SWC_20,T_5,Baseline,0.02416984923183918,0.0492812842130661,12.144476890563965
SWC_20,T_5,Multi-step Linear,0.09633828699588776,0.2690688371658325,34.44873809814453
SWC_20,T_5,Multi-step Dense,0.02098197117447853,0.08872930705547333,17.502487182617188
SWC_20,T_5,CNN,0.04706697165966034,0.17285850644111633,27.750093460083008
SWC_20,T_5,RNN,0.02147379331290722,0.08636710792779922,15.076977729797363
SWC_20,T_5,LSTM,0.0309368297457695,0.10987889766693115,14.329398155212402
SWC_20,T_5,Autoregressive,0.035481877624988556,0.11369433254003525,14.125655174255371
SWC_20,T_5,Bi-LSTM,0.041130341589450836,0.14963184297084808,20.471773147583008
SWC_20,T_10,Baseline,0.024169860407710075,0.049281295388936996,12.144482612609863
SWC_20,T_10,Multi-step Linear,0.09065992385149002,0.2619580626487732,33.39098358154297
SWC_20,T_10,Multi-step Dense,0.01708286814391613,0.065378837287426,10.5103759765625
SWC_20,T_10,CNN,0.01883913017809391,0.07648896425962448,15.977992057800293
SWC_20,T_10,RNN,0.024184273555874825,0.10109096765518188,16.46027946472168
SWC_20,T_10,LSTM,0.05072146654129028,0.13502627611160278,15.36778736114502
SWC_20,T_10,Autoregressive,0.03007008507847786,0.09482691437005997,15.77546501159668
SWC_20,T_10,Bi-LSTM,0.020605383440852165,0.08700060844421387,16.898317337036133
SWC_20,T_20,Baseline,0.024169858545064926,0.0492812804877758,12.144478797912598
SWC_20,T_20,Multi-step Linear,0.012535393238067627,0.028000643476843834,6.552236557006836
